ID,ORGANIZATION_ID,CREATED_AT,TITLE,SOURCE_TYPE_ID,IS_ARCHIVED
cca53d50-5b06-4171-b6d8-8a2e4df7ce3b,c0fc7bfc-5ffa-4fce-b3d8-d7d3067c3935,2024-04-12 23:40:40.376 Z,Indeed Sponsored,16e161ec-7861-40be-a48d-c3232e307a1f,false
2a5a31ce-85a8-4c6e-bd6b-d9b478a1be1f,c0fc7bfc-5ffa-4fce-b3d8-d7d3067c3935,2024-04-12 23:40:40.341 Z,Indeed Listings,16e161ec-7861-40be-a48d-c3232e307a1f,false
930277be-e5a7-48ed-b461-103679788848,c0fc7bfc-5ffa-4fce-b3d8-d7d3067c3935,2024-04-12 23:40:40.481 Z,Welcome to the Jungle,16e161ec-7861-40be-a48d-c3232e307a1f,false
b7531175-fc74-4224-a548-64b34629def1,c0fc7bfc-5ffa-4fce-b3d8-d7d3067c3935,2024-04-12 23:40:40.312 Z,LinkedIn Limited Listings,16e161ec-7861-40be-a48d-c3232e307a1f,false
b6846c48-c253-48d3-8dbc-fc19b15a2ff8,c0fc7bfc-5ffa-4fce-b3d8-d7d3067c3935,2024-02-06 23:55:54.982 Z,Recruiting Event,3cd99dd2-a821-4c37-9cf6-f64d001c4304,false
0b4b5630-1126-4c8d-aaa4-6199098d2455,c0fc7bfc-5ffa-4fce-b3d8-d7d3067c3935,2024-02-06 23:55:54.982 Z,LinkedIn,3cd99dd2-a821-4c37-9cf6-f64d001c4304,false
8bfa825b-681c-4f28-b4f1-9d2db1117472,c0fc7bfc-5ffa-4fce-b3d8-d7d3067c3935,2024-02-06 23:55:54.982 Z,Office Events,866b661d-93eb-4105-b946-d585ae1dc541,false
2ac63b5d-76a5-4a9a-88a7-0284e272f820,c0fc7bfc-5ffa-4fce-b3d8-d7d3067c3935,2024-02-06 23:55:54.982 Z,Campus Recruiting Events,866b661d-93eb-4105-b946-d585ae1dc541,false
c3a6d4e2-8646-4886-bef6-38aca5254022,c0fc7bfc-5ffa-4fce-b3d8-d7d3067c3935,2024-02-06 23:55:54.982 Z,Referral Link,8c773717-d56f-4993-b231-ebcff9843247,false
69fba9b8-08a4-4284-885a-8261c415b02f,79a81a50-3045-47b6-84ae-8cd2d981845e,2022-01-31 13:46:33.544 Z,Remoti.io,ba0abfdc-94f7-4a34-aa25-0615dbc583fd,false
